ID,age,current_occupation,first_interaction,profile_completed,website_visits,time_spent_on_website,page_views_per_visit,last_activity,print_media_type1,print_media_type2,digital_media,educational_channels,referral,status
EXT054,46,Professional,Website,High,1,1283,2.22,Website Activity,No,No,No,Yes,No,1
EXT055,28,Professional,Mobile App,High,0,0,0,Email Activity,No,No,No,Yes,No,0
EXT056,21,Student,Website,Medium,3,524,1.868,Website Activity,No,No,No,Yes,No,1
EXT057,49,Professional,Website,High,6,1557,0.159,Website Activity,Yes,No,No,Yes,No,1
EXT058,57,Unemployed,Website,Medium,2,1608,0.241,Email Activity,No,No,No,No,No,1
EXT059,53,Professional,Website,High,2,408,2.453,Email Activity,No,No,No,No,No,0
EXT060,35,Professional,Website,High,2,641,3.193,Email Activity,Yes,No,No,No,No,1
EXT061,57,Professional,Website,High,1,6,1.99,Phone Activity,No,No,No,No,No,1
EXT062,41,Professional,Mobile App,Medium,5,82,4.445,Website Activity,Yes,No,No,No,No,0
EXT063,56,Professional,Mobile App,High,2,332,2.243,Email Activity,Yes,No,No,No,No,0
EXT064,39,Professional,Mobile App,Medium,2,378,0.237,Email Activity,Yes,No,No,Yes,No,0
EXT065,29,Professional,Mobile App,Medium,3,379,3.56,Phone Activity,No,No,No,No,No,0
EXT066,51,Unemployed,Website,Medium,3,73,3.029,Email Activity,No,No,Yes,No,No,0
EXT067,59,Unemployed,Mobile App,Medium,25,311,2.184,Phone Activity,No,No,Yes,No,No,0
EXT068,19,Student,Website,High,3,1382,3.521,Phone Activity,No,Yes,No,No,No,0
EXT069,59,Professional,Mobile App,High,2,1453,0.248,Website Activity,No,No,No,No,No,0
EXT070,59,Unemployed,Mobile App,Low,4,231,2.204,Website Activity,No,No,No,Yes,No,0
EXT071,19,Student,Website,Medium,4,106,2.183,Phone Activity,No,No,No,No,No,0
EXT072,43,Unemployed,Mobile App,High,4,57,1.011,Phone Activity,Yes,No,No,No,No,0
EXT073,58,Professional,Mobile App,Medium,4,490,2.171,Email Activity,No,No,No,No,No,1
EXT074,42,Unemployed,Website,High,2,222,3.637,Phone Activity,No,No,No,No,No,1
EXT075,61,Unemployed,Website,Medium,6,1028,2.36,Website Activity,No,No,No,No,No,1
EXT076,45,Professional,Mobile App,High,2,1,2.226,Email Activity,No,No,No,No,No,0
EXT077,60,Professional,Website,High,1,42,4.162,Website Activity,No,Yes,No,No,No,1
EXT078,52,Unemployed,Mobile App,High,2,2449,2.055,Phone Activity,No,No,No,No,No,0
EXT079,24,Student,Mobile App,Medium,2,147,2.189,Phone Activity,No,No,No,No,No,0
EXT080,56,Unemployed,Mobile App,Medium,3,618,5.645,Email Activity,No,No,No,No,No,0
EXT081,53,Professional,Website,High,3,1353,3.187,Email Activity,No,No,No,No,No,1
EXT082,36,Unemployed,Website,High,1,1935,3.569,Email Activity,No,No,No,Yes,No,0
EXT083,43,Unemployed,Mobile App,High,5,2024,3.403,Phone Activity,No,No,No,No,No,0
EXT084,54,Professional,Mobile App,High,3,194,2.208,Website Activity,No,No,No,Yes,No,0
EXT085,18,Student,Website,High,8,1931,0.158,Website Activity,No,No,No,No,No,0
EXT086,22,Student,Website,High,4,216,2.232,Website Activity,No,No,No,No,No,0
EXT087,55,Unemployed,Website,Medium,2,2286,0.278,Email Activity,No,No,No,Yes,No,0
EXT088,49,Professional,Mobile App,High,1,1,2.075,Email Activity,No,No,No,Yes,No,0
EXT089,35,Professional,Website,Medium,2,46,3.171,Email Activity,No,No,No,No,No,0
EXT090,49,Unemployed,Mobile App,High,7,165,1.389,Website Activity,No,No,No,No,No,0
EXT091,58,Professional,Website,High,2,72,2.01,Website Activity,Yes,No,No,Yes,No,1
EXT092,45,Professional,Website,High,2,685,2.185,Email Activity,No,No,No,No,No,1
EXT093,57,Professional,Mobile App,Medium,2,423,2.151,Phone Activity,Yes,No,No,Yes,No,0
EXT094,32,Unemployed,Website,Medium,4,246,3.862,Website Activity,No,No,No,No,No,0
EXT095,49,Unemployed,Website,High,0,0,0,Email Activity,Yes,No,No,No,No,1
EXT096,59,Professional,Website,Medium,1,989,4.325,Email Activity,No,No,No,No,No,1
EXT097,60,Unemployed,Website,High,3,677,3.578,Email Activity,Yes,No,No,No,No,1
EXT098,46,Professional,Website,High,3,1367,3.66,Email Activity,No,No,No,Yes,No,1
EXT099,60,Professional,Mobile App,Medium,2,2270,3.723,Phone Activity,No,No,No,No,No,0
EXT100,57,Professional,Website,High,4,131,3.812,Website Activity,No,No,No,No,No,0
EXT101,34,Professional,Mobile App,High,5,1445,5.557,Website Activity,No,No,No,No,No,1
EXT102,32,Professional,Mobile App,Medium,3,75,2.052,Website Activity,No,No,No,No,No,0
EXT103,59,Professional,Website,Medium,2,574,3.314,Phone Activity,No,No,No,No,No,1
EXT104,57,Professional,Mobile App,High,3,212,2.275,Website Activity,No,No,No,No,No,0
EXT105,58,Professional,Website,High,7,1565,1.695,Email Activity,No,No,No,No,No,1
EXT106,38,Unemployed,Website,High,2,325,3.468,Phone Activity,No,No,No,No,No,0
EXT107,54,Professional,Mobile App,Medium,4,57,4.408,Email Activity,Yes,No,No,No,No,0
EXT108,58,Professional,Website,Medium,4,88,0.23,Email Activity,No,No,No,No,No,0
EXT109,48,Professional,Website,Medium,2,2230,3.618,Email Activity,No,No,No,No,No,1
EXT110,43,Unemployed,Website,Medium,5,272,2.074,Phone Activity,Yes,No,No,No,No,0
EXT111,31,Professional,Website,High,1,187,7.364,Email Activity,No,No,No,Yes,No,1
EXT112,56,Professional,Website,Medium,5,295,3.692,Email Activity,No,No,No,No,No,0
EXT113,48,Unemployed,Website,Medium,3,344,5.655,Phone Activity,No,No,No,No,No,0
EXT114,33,Professional,Website,Medium,1,329,2.288,Website Activity,No,No,No,No,No,0
EXT115,56,Professional,Website,High,2,183,5.273,Email Activity,No,Yes,No,No,No,1
EXT116,57,Professional,Website,Medium,2,1295,5.123,Email Activity,No,No,No,No,No,1
EXT117,39,Professional,Website,High,2,643,0.308,Email Activity,No,No,No,No,No,1
EXT118,57,Unemployed,Mobile App,High,2,1152,2.991,Website Activity,No,No,No,No,No,0
EXT119,58,Professional,Mobile App,Medium,4,49,1.911,Email Activity,Yes,No,No,No,No,0
EXT120,44,Unemployed,Mobile App,High,4,1865,5.387,Website Activity,No,No,Yes,No,No,1
EXT121,59,Professional,Website,Medium,5,37,0.25,Email Activity,No,No,No,No,No,0
EXT122,56,Professional,Mobile App,Medium,2,561,6.887,Email Activity,No,No,No,No,No,0
EXT123,58,Professional,Mobile App,Medium,3,110,2.233,Email Activity,No,No,No,No,No,0
EXT124,58,Professional,Mobile App,Medium,7,2353,2.775,Email Activity,No,No,No,No,No,0
EXT125,24,Student,Mobile App,High,3,149,0.294,Email Activity,No,No,No,No,No,0
EXT126,59,Unemployed,Mobile App,Medium,2,246,7.662,Phone Activity,No,No,No,Yes,No,0
EXT127,35,Professional,Website,Medium,4,177,0.214,Email Activity,No,No,No,No,No,0
EXT128,54,Professional,Mobile App,High,0,0,0,Phone Activity,No,No,No,No,No,0
EXT129,46,Professional,Website,High,1,268,3.751,Website Activity,No,No,Yes,No,No,1
EXT130,24,Student,Website,Medium,2,224,0.171,Email Activity,No,No,Yes,No,No,0
EXT131,60,Unemployed,Website,High,7,47,3.72,Website Activity,No,No,Yes,No,No,1
EXT132,45,Unemployed,Website,High,5,2062,3.269,Email Activity,No,No,No,No,No,1
EXT133,59,Unemployed,Website,High,2,41,2.037,Phone Activity,No,No,Yes,No,No,1
EXT134,32,Unemployed,Mobile App,Medium,3,642,2.239,Website Activity,No,No,No,No,No,1
EXT135,58,Professional,Mobile App,Medium,7,476,2.17,Email Activity,No,No,No,Yes,No,0
EXT136,49,Professional,Website,Medium,2,194,7.915,Email Activity,Yes,No,No,No,Yes,0
EXT137,24,Student,Website,High,8,304,2.159,Website Activity,Yes,No,No,No,No,0
EXT138,56,Professional,Website,Low,4,894,3.526,Email Activity,No,No,Yes,Yes,No,0
EXT139,24,Student,Website,High,8,563,3.871,Email Activity,No,No,No,No,No,1
EXT140,39,Professional,Website,High,2,568,2.223,Email Activity,No,Yes,No,No,No,1
EXT141,53,Unemployed,Mobile App,Medium,5,392,3.912,Email Activity,No,No,No,No,No,0
EXT142,59,Professional,Website,Medium,4,504,6.644,Phone Activity,No,No,No,No,No,0
EXT143,55,Professional,Mobile App,Medium,3,561,5.589,Email Activity,No,No,No,No,No,0
EXT144,56,Professional,Mobile App,High,3,2000,0.137,Website Activity,No,Yes,No,No,No,0
EXT145,34,Professional,Website,High,2,385,3.844,Phone Activity,No,No,No,No,No,1
EXT146,24,Student,Website,High,5,1374,3.342,Phone Activity,No,No,Yes,No,No,0
EXT147,46,Unemployed,Website,Medium,3,1098,3.538,Website Activity,Yes,No,No,No,No,1
EXT148,29,Professional,Website,High,8,1210,3.763,Email Activity,No,No,No,No,No,1
EXT149,46,Professional,Website,High,2,2509,3.871,Email Activity,No,No,No,No,No,1
EXT150,32,Professional,Website,Medium,5,690,2.095,Website Activity,No,No,No,No,No,1
EXT151,38,Professional,Mobile App,Medium,2,99,3.704,Phone Activity,No,No,No,No,No,0
EXT152,32,Professional,Mobile App,High,8,1537,2.202,Phone Activity,No,Yes,No,No,No,0
EXT153,60,Professional,Website,Medium,4,1054,3.725,Phone Activity,No,Yes,Yes,No,No,0
EXT154,41,Professional,Website,Medium,1,1542,0.37,Phone Activity,No,No,No,No,No,0
EXT155,59,Unemployed,Mobile App,Medium,5,586,0.247,Phone Activity,No,No,Yes,No,No,0
EXT156,57,Unemployed,Mobile App,High,6,536,2.148,Website Activity,No,No,No,Yes,No,0
EXT157,50,Unemployed,Website,High,8,1731,3.553,Email Activity,No,No,No,No,No,1
EXT158,44,Unemployed,Mobile App,High,4,654,3.478,Email Activity,No,No,No,No,No,0
EXT159,18,Student,Website,Medium,5,466,2.138,Phone Activity,No,No,No,No,No,0
EXT160,37,Professional,Website,High,7,2292,3.324,Website Activity,No,No,No,No,No,1
EXT161,54,Unemployed,Mobile App,High,1,1606,3.61,Phone Activity,No,No,Yes,No,No,0
EXT162,63,Unemployed,Website,Medium,2,58,2.182,Email Activity,No,No,No,No,No,0
EXT163,48,Unemployed,Mobile App,High,2,642,5.441,Email Activity,No,No,No,No,No,0
EXT164,56,Unemployed,Mobile App,Medium,0,0,0,Email Activity,No,No,No,No,No,0
EXT165,60,Professional,Website,Medium,2,618,1.954,Email Activity,Yes,No,No,No,No,1
EXT166,20,Student,Mobile App,Medium,5,276,3.104,Phone Activity,No,No,No,Yes,No,0
EXT167,62,Unemployed,Website,High,3,1579,0.228,Website Activity,No,No,No,No,No,0
EXT168,20,Student,Website,High,4,173,5.337,Email Activity,No,No,Yes,No,No,0
EXT169,56,Professional,Website,High,2,1687,2.226,Email Activity,No,No,Yes,Yes,No,1
EXT170,29,Professional,Mobile App,Medium,2,1,1.888,Phone Activity,Yes,No,No,No,No,0
EXT171,34,Professional,Website,Medium,0,0,0,Email Activity,No,Yes,No,Yes,No,0
EXT172,20,Student,Website,High,4,45,1.966,Phone Activity,No,No,No,No,No,0
EXT173,58,Professional,Website,High,3,1592,5.549,Website Activity,No,No,No,Yes,No,1
EXT174,33,Professional,Mobile App,Medium,4,325,3.76,Email Activity,Yes,No,No,No,No,0
EXT175,33,Professional,Mobile App,High,4,2285,2.935,Email Activity,No,No,Yes,No,No,1
EXT176,41,Unemployed,Website,High,7,88,1.945,Email Activity,No,No,No,No,No,1
EXT177,33,Unemployed,Website,High,4,207,0.129,Phone Activity,No,No,No,No,No,0
EXT178,22,Student,Mobile App,Medium,2,1718,2.212,Phone Activity,No,No,No,No,No,0
EXT179,59,Professional,Website,Medium,1,289,5.378,Email Activity,No,No,No,No,No,0
EXT180,59,Professional,Website,Medium,1,55,5.524,Phone Activity,No,No,No,No,No,0
EXT181,36,Professional,Website,Medium,1,466,3.211,Email Activity,No,No,No,No,No,1
EXT182,55,Unemployed,Mobile App,High,0,0,0,Email Activity,Yes,No,No,No,No,0
EXT183,32,Unemployed,Website,Medium,3,75,2.284,Phone Activity,No,No,No,No,No,0
EXT184,38,Unemployed,Mobile App,Low,2,401,7.936,Website Activity,No,No,Yes,No,No,0
EXT185,28,Professional,Website,Medium,4,288,3.556,Email Activity,Yes,No,No,Yes,No,0
EXT186,51,Professional,Mobile App,High,5,84,4.075,Website Activity,No,No,No,No,No,0
EXT187,59,Professional,Website,Medium,3,180,4.186,Phone Activity,Yes,No,No,No,No,0
EXT188,38,Professional,Mobile App,High,6,198,3.804,Email Activity,No,No,No,No,No,0
EXT189,61,Unemployed,Mobile App,High,2,388,0.336,Website Activity,No,No,Yes,No,No,0
EXT190,58,Unemployed,Website,High,2,648,4.336,Phone Activity,No,No,No,No,No,1
EXT191,19,Student,Mobile App,High,3,288,3.586,Phone Activity,No,No,Yes,No,No,0
EXT192,63,Unemployed,Mobile App,High,1,1775,2.246,Email Activity,No,No,No,No,No,0
EXT193,20,Student,Website,Medium,5,86,3.586,Email Activity,No,No,No,No,No,0
EXT194,41,Professional,Mobile App,Low,0,0,0,Phone Activity,Yes,Yes,No,Yes,No,0
EXT195,55,Unemployed,Mobile App,Medium,2,1236,2.936,Email Activity,No,No,No,No,No,0
EXT196,60,Professional,Mobile App,High,4,380,3.635,Email Activity,No,No,No,No,No,0
EXT197,20,Student,Website,Medium,2,2073,7.469,Phone Activity,No,No,No,No,No,0
EXT198,32,Unemployed,Website,Medium,9,2001,2.178,Email Activity,No,No,No,No,No,0
EXT199,59,Professional,Mobile App,High,4,118,3.253,Phone Activity,No,No,No,No,No,0
EXT200,36,Unemployed,Mobile App,Medium,4,2365,8.714,Email Activity,No,No,No,No,No,0
EXT201,56,Unemployed,Website,High,4,1791,7.264,Phone Activity,No,No,No,Yes,No,1
EXT202,57,Professional,Mobile App,High,14,66,2.043,Email Activity,No,No,No,Yes,No,0
EXT203,46,Professional,Mobile App,Medium,13,2072,3.957,Email Activity,No,No,No,No,No,0
EXT204,33,Unemployed,Website,High,5,1629,2.078,Email Activity,No,No,No,No,No,0
EXT205,33,Professional,Mobile App,High,2,1181,3.542,Email Activity,No,No,No,No,No,0
EXT206,32,Professional,Website,Medium,4,2280,2.202,Phone Activity,No,No,No,No,No,0
EXT207,34,Professional,Mobile App,High,4,419,3.282,Email Activity,No,No,Yes,No,No,0
EXT208,24,Student,Website,High,2,1716,0.055,Email Activity,Yes,No,No,No,No,1
EXT209,32,Unemployed,Mobile App,High,4,1942,2.142,Phone Activity,No,No,No,No,No,0
EXT210,51,Unemployed,Website,Medium,3,494,3.383,Website Activity,No,No,Yes,No,No,1
EXT211,46,Unemployed,Website,Medium,5,339,2.168,Website Activity,No,No,No,No,No,0
EXT212,21,Student,Website,Medium,2,2225,2.231,Email Activity,No,No,No,No,No,0
EXT213,46,Professional,Website,Medium,11,606,2.248,Phone Activity,No,No,Yes,No,No,0
EXT214,32,Unemployed,Mobile App,High,0,0,0,Email Activity,Yes,No,No,No,No,0
EXT215,57,Professional,Website,High,4,341,3.011,Email Activity,No,No,No,No,No,1
EXT216,59,Unemployed,Mobile App,Medium,7,389,2.173,Email Activity,No,No,No,No,No,0
EXT217,50,Unemployed,Website,High,2,68,3.554,Email Activity,No,No,No,No,No,1
EXT218,63,Unemployed,Mobile App,Medium,1,300,2.062,Email Activity,No,No,No,No,No,0
EXT219,58,Professional,Mobile App,High,1,65,3.92,Website Activity,No,No,No,Yes,No,0
EXT220,58,Professional,Website,High,8,57,3.42,Email Activity,No,Yes,No,No,No,0
EXT221,50,Professional,Website,High,3,93,0.281,Phone Activity,No,No,No,No,No,1
EXT222,58,Unemployed,Website,High,1,576,3.511,Email Activity,No,No,No,No,No,1
EXT223,21,Student,Mobile App,High,5,297,3.496,Phone Activity,No,No,No,No,No,0
EXT224,22,Student,Mobile App,High,1,206,2.148,Phone Activity,No,No,No,No,No,0
EXT225,43,Unemployed,Website,High,8,1741,4.307,Phone Activity,No,No,No,No,No,1
EXT226,43,Professional,Mobile App,Medium,4,97,2.676,Email Activity,No,No,No,No,No,0
EXT227,50,Professional,Website,Low,2,158,1.556,Email Activity,Yes,Yes,No,No,No,0
EXT228,48,Unemployed,Website,Medium,2,1942,13.076,Phone Activity,No,No,No,Yes,No,0
EXT229,32,Unemployed,Website,Medium,2,90,2.067,Email Activity,No,No,Yes,Yes,No,0
EXT230,60,Professional,Website,High,2,703,8.104,Phone Activity,No,No,No,Yes,No,0
EXT231,56,Professional,Website,High,1,72,2.083,Phone Activity,No,No,No,No,No,1
EXT232,57,Professional,Website,High,1,2215,1.811,Email Activity,No,No,No,No,No,1
EXT233,57,Professional,Mobile App,Low,5,248,2.131,Phone Activity,No,No,No,No,No,0
EXT234,26,Professional,Mobile App,High,7,594,3.903,Phone Activity,No,No,No,Yes,No,0
EXT235,48,Unemployed,Website,Medium,3,450,1.423,Phone Activity,Yes,No,Yes,No,No,0
EXT236,31,Professional,Mobile App,Medium,2,76,3.59,Phone Activity,No,No,No,No,No,0
EXT237,58,Professional,Mobile App,High,2,197,2.178,Email Activity,No,No,No,No,No,0
EXT238,18,Student,Mobile App,High,3,406,7.763,Phone Activity,No,No,No,No,No,0
EXT239,59,Unemployed,Website,Medium,3,2202,4.239,Email Activity,No,No,No,No,No,1
EXT240,28,Professional,Website,High,0,0,0,Email Activity,No,No,No,Yes,No,1
EXT241,33,Unemployed,Website,High,5,1425,2.039,Website Activity,Yes,No,No,No,No,0
EXT242,50,Unemployed,Mobile App,Medium,6,2017,2.158,Phone Activity,No,No,No,No,No,0
EXT243,57,Professional,Website,Medium,3,1,2.985,Website Activity,No,No,No,No,No,0
EXT244,52,Unemployed,Mobile App,Medium,4,31,3.499,Phone Activity,No,No,No,No,No,0
EXT245,43,Professional,Website,High,4,30,2.18,Email Activity,No,No,No,No,No,1
EXT246,36,Professional,Website,Medium,3,2017,2.113,Website Activity,No,No,Yes,No,No,1
EXT247,39,Professional,Mobile App,High,4,272,0.178,Website Activity,No,No,No,No,No,0
EXT248,50,Professional,Mobile App,High,1,1188,5.4,Website Activity,Yes,No,No,No,No,1
EXT249,32,Unemployed,Website,Medium,3,460,3.283,Email Activity,No,No,No,No,No,0
EXT250,56,Unemployed,Website,Medium,5,348,2.186,Website Activity,No,No,No,No,No,0
EXT251,60,Professional,Website,Medium,5,1547,5.651,Email Activity,No,No,No,No,No,1
EXT252,23,Student,Website,Medium,7,2040,8.388,Email Activity,No,No,No,No,No,0
EXT253,51,Unemployed,Website,High,3,415,7.056,Email Activity,No,No,No,No,No,0
EXT254,59,Professional,Mobile App,Medium,2,2233,0.066,Website Activity,No,No,No,No,Yes,1
EXT255,58,Unemployed,Website,High,3,342,7.778,Website Activity,No,No,No,Yes,No,1
EXT256,37,Unemployed,Website,High,3,196,2.237,Phone Activity,No,No,No,No,No,0
EXT257,32,Unemployed,Website,High,1,20,1.04,Website Activity,No,No,No,No,No,0
EXT258,22,Student,Website,High,5,93,3.692,Phone Activity,No,No,No,Yes,No,0
EXT259,30,Professional,Website,High,2,71,1.82,Email Activity,No,No,No,No,No,1
EXT260,57,Unemployed,Mobile App,Medium,2,280,2.278,Email Activity,No,No,No,No,No,0
EXT261,23,Student,Website,High,8,485,5.034,Phone Activity,No,No,Yes,No,No,0
EXT262,19,Student,Website,Medium,4,257,1.998,Email Activity,No,No,No,No,No,0
EXT263,55,Professional,Website,High,13,1273,2.2,Phone Activity,No,No,No,No,No,0
EXT264,55,Professional,Website,Medium,5,1800,2.232,Email Activity,No,No,No,No,No,1
EXT265,35,Unemployed,Website,Medium,1,2495,2.884,Website Activity,No,No,No,No,No,1
EXT266,39,Unemployed,Website,High,2,388,3.7,Website Activity,Yes,No,No,Yes,No,0
EXT267,37,Unemployed,Mobile App,Medium,13,1482,0.328,Website Activity,No,No,Yes,Yes,No,1
EXT268,59,Professional,Website,Medium,3,1969,0.047,Email Activity,No,No,No,No,No,1
EXT269,57,Professional,Mobile App,Medium,3,1009,18.302,Phone Activity,No,No,No,No,No,0
EXT270,58,Professional,Website,Medium,3,433,2.156,Website Activity,No,No,No,No,No,1
EXT271,33,Unemployed,Website,Medium,0,0,0,Email Activity,No,No,No,No,No,0
EXT272,57,Professional,Website,High,2,1,0.211,Phone Activity,No,No,No,No,No,1
EXT273,40,Unemployed,Mobile App,Medium,2,343,2.196,Website Activity,No,No,No,No,No,0
EXT274,59,Unemployed,Website,Medium,1,341,3.575,Email Activity,No,No,No,Yes,No,0
EXT275,33,Professional,Mobile App,High,5,58,6.862,Phone Activity,No,No,No,No,No,0
EXT276,58,Unemployed,Website,High,2,365,3.518,Phone Activity,No,No,No,No,No,1
EXT277,47,Unemployed,Website,Low,3,481,2.229,Email Activity,No,No,No,No,No,0
EXT278,32,Professional,Website,High,2,1945,8.268,Phone Activity,No,No,No,No,No,0
EXT279,58,Unemployed,Mobile App,Medium,8,1707,3.381,Email Activity,No,No,No,Yes,No,0
EXT280,21,Student,Website,Medium,6,360,2.793,Website Activity,No,No,No,No,No,0
EXT281,45,Professional,Mobile App,Medium,3,383,6.928,Email Activity,No,No,No,No,No,0
EXT282,58,Professional,Mobile App,Medium,1,1050,4.314,Website Activity,Yes,No,Yes,No,No,0
EXT283,60,Professional,Website,Medium,2,65,1.963,Phone Activity,No,No,No,No,No,0
EXT284,58,Unemployed,Website,Medium,8,396,3.498,Phone Activity,No,No,No,No,No,0
EXT285,43,Professional,Website,High,4,1815,3.298,Email Activity,No,Yes,No,No,No,1
EXT286,59,Professional,Website,High,3,1963,2.064,Email Activity,No,No,No,No,No,1
EXT287,23,Student,Mobile App,High,2,2317,2.236,Phone Activity,No,No,Yes,No,No,0
EXT288,30,Professional,Website,High,2,48,2.263,Website Activity,No,No,No,No,No,1
EXT289,28,Professional,Website,High,3,40,4.426,Phone Activity,No,Yes,No,Yes,No,1
EXT290,57,Professional,Website,Medium,1,348,2.041,Phone Activity,No,No,No,No,No,0
EXT291,58,Professional,Website,Medium,3,726,3.32,Website Activity,No,No,No,No,No,1
EXT292,22,Student,Mobile App,High,5,367,2.154,Phone Activity,Yes,No,No,No,No,0
EXT293,37,Unemployed,Mobile App,High,2,2132,3.417,Phone Activity,No,No,No,No,No,0
EXT294,60,Professional,Website,Medium,2,1854,1.188,Phone Activity,No,No,No,No,No,0
EXT295,48,Professional,Mobile App,High,5,1120,5.763,Phone Activity,No,No,No,No,No,1
EXT296,37,Professional,Mobile App,Medium,2,76,2.993,Website Activity,No,No,Yes,Yes,No,0
EXT297,20,Student,Mobile App,High,1,616,3.674,Phone Activity,No,No,No,No,No,0
EXT298,43,Unemployed,Mobile App,Medium,2,2074,3.496,Phone Activity,No,No,No,No,No,0
EXT299,41,Professional,Mobile App,Medium,9,1548,2.153,Phone Activity,No,No,No,No,No,0
